Statistic,Year,Commodity Group,UNIT,VALUE
Annual Average Percentage Change in Consumer Price Index (%),1990,Health,%,4
Annual Average Percentage Change in Consumer Price Index (%),1991,Health,%,4.4
Annual Average Percentage Change in Consumer Price Index (%),1992,Health,%,5.6
Annual Average Percentage Change in Consumer Price Index (%),1993,Health,%,3.7
Annual Average Percentage Change in Consumer Price Index (%),1994,Health,%,4.2
Annual Average Percentage Change in Consumer Price Index (%),1995,Health,%,3.2
Annual Average Percentage Change in Consumer Price Index (%),1996,Health,%,3.3
Annual Average Percentage Change in Consumer Price Index (%),1997,Health,%,3.3
Annual Average Percentage Change in Consumer Price Index (%),1998,Health,%,5.4
Annual Average Percentage Change in Consumer Price Index (%),1999,Health,%,5.7
Annual Average Percentage Change in Consumer Price Index (%),2000,Health,%,7.1
Annual Average Percentage Change in Consumer Price Index (%),2001,Health,%,7.5
Annual Average Percentage Change in Consumer Price Index (%),2002,Health,%,10
Annual Average Percentage Change in Consumer Price Index (%),2003,Health,%,7.7
Annual Average Percentage Change in Consumer Price Index (%),2004,Health,%,6
Annual Average Percentage Change in Consumer Price Index (%),2005,Health,%,6.2
Annual Average Percentage Change in Consumer Price Index (%),2006,Health,%,4.4
Annual Average Percentage Change in Consumer Price Index (%),2007,Health,%,2.9
Annual Average Percentage Change in Consumer Price Index (%),2008,Health,%,6
Annual Average Percentage Change in Consumer Price Index (%),2009,Health,%,3.5
Annual Average Percentage Change in Consumer Price Index (%),2010,Health,%,0.6
Annual Average Percentage Change in Consumer Price Index (%),2011,Health,%,3.4
Annual Average Percentage Change in Consumer Price Index (%),2012,Health,%,0.5
Annual Average Percentage Change in Consumer Price Index (%),2013,Health,%,0.9
Annual Average Percentage Change in Consumer Price Index (%),2014,Health,%,-0.2
Annual Average Percentage Change in Consumer Price Index (%),2015,Health,%,0
Annual Average Percentage Change in Consumer Price Index (%),2016,Health,%,1.2
Annual Average Percentage Change in Consumer Price Index (%),2017,Health,%,1.3
Annual Average Percentage Change in Consumer Price Index (%),2018,Health,%,0.2
Annual Average Percentage Change in Consumer Price Index (%),2019,Health,%,0.8
Annual Average Percentage Change in Consumer Price Index (%),2020,Health,%,2.8
